 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.675416470       9.63370514       32.0299988       2.98819995      0.221022069      0.199573159      0.90295577049255371     
  0.691167474       9.83294678       32.2599983       3.00780010      0.188056707      0.168741092      0.89728832244873047     
  0.710589528       10.0797863       32.5508995       3.02990007      0.152986094      0.136277884      0.89078611135482788     
  0.730163872       10.3249769       32.8237991       3.05360007      0.123640522      0.109306626      0.88406795263290405     
  0.750067055       10.5737648       33.0990982       3.07680011       9.88578647E-02   8.67531523E-02  0.87755435705184937     
  0.769745469       10.8271952       33.4123001       3.09340000       7.83118457E-02   6.82230070E-02  0.87117099761962891     
  0.789383948       11.0900974       33.7770004       3.10240006       6.12747632E-02   5.29986359E-02  0.86493414640426636     
  0.809170783       11.3573027       34.1535988       3.10949993       4.74606827E-02   4.07405086E-02  0.85840547084808350     
  0.828995883       11.5985384       34.3902016       3.13330007       3.70408297E-02   3.15191075E-02  0.85092878341674805     
  0.843754590       11.7765274       34.5591011       3.15129995       3.06825638E-02   2.59206817E-02  0.84480166435241699     
