 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.379502565       5.41960382       23.9227009       2.97889996       3.66183090       3.75995851       1.0267974138259888     
  0.393257082       5.59403753       24.1879005       3.00869989       3.32577848       3.38593388       1.0180876255035400     
  0.410929471       5.81797266       24.5277996       3.04430008       2.93271542       2.95431614       1.0073654651641846     
  0.430321008       6.06369114       24.9006996       3.07999992       2.54695964       2.53770256      0.99636542797088623     
  0.449769437       6.32423687       25.3719006       3.09599996       2.17411184       2.14508057      0.98664683103561401     
  0.469615400       6.60011959       25.9134998       3.09960008       1.82849395       1.78761816      0.97764509916305542     
  0.489167988       6.86619663       26.3987999       3.10910010       1.54665208       1.49861515      0.96894133090972900     
  0.508452117       7.10548639       26.7196999       3.14199996       1.33405328       1.28034091      0.95973747968673706     
  0.525957763       7.31192732       26.9438000       3.18070006       1.17261028       1.11557531      0.95136070251464844     
  0.542802989       7.52747107       27.2658005       3.19899988       1.01769161      0.960875332      0.94417142868041992     
