                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9904  26.2147  0.18661E+01  0.19170E+01  0.16085E-04  0.19068E+01  0.18468E+01  0.16106E-04  0.18359E+01
   10.5890   3.0171  26.4767  0.16727E+01  0.17076E+01  0.10194E-04  0.16992E+01  0.16425E+01  0.10204E-04  0.16335E+01
   10.5890   3.0483  26.8154  0.14490E+01  0.14680E+01  0.57540E-05  0.14614E+01  0.14093E+01  0.57578E-05  0.14023E+01
   10.5890   3.0804  27.1518  0.12462E+01  0.12529E+01  0.32848E-05  0.12477E+01  0.12004E+01  0.32857E-05  0.11949E+01
   10.5890   3.0950  27.5817  0.10551E+01  0.10535E+01  0.19794E-05  0.10494E+01  0.10076E+01  0.19792E-05  0.10032E+01
   10.5890   3.1003  28.0706  0.88051E+00  0.87327E+00  0.12728E-05  0.87002E+00  0.83382E+00  0.12724E-05  0.83037E+00
   10.5890   3.1109  28.5077  0.73719E+00  0.72639E+00  0.89455E-06  0.72380E+00  0.69242E+00  0.89402E-06  0.68967E+00
   10.5890   3.1404  28.8021  0.62590E+00  0.61265E+00  0.67741E-06  0.61055E+00  0.58294E+00  0.67680E-06  0.58071E+00
   10.5890   3.1750  29.0346  0.53491E+00  0.52011E+00  0.54047E-06  0.51839E+00  0.49401E+00  0.53977E-06  0.49218E+00
   10.5890   3.1985  29.2720  0.46249E+00  0.44727E+00  0.45198E-06  0.44580E+00  0.42421E+00  0.45128E-06  0.42265E+00
