 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9882  32.0300   0.6754   9.6337  0.22377E+00  0.22369E+00  0.80800E-04  0.20254E+00  0.24402E-06  0.83761E-03  0.20171E+00  0.10022E+01
   10.5890   3.0078  32.2600   0.6912   9.8329  0.19093E+00  0.19084E+00  0.88533E-04  0.17176E+00  0.20531E-06  0.72908E-03  0.17103E+00  0.10023E+01
   10.5890   3.0299  32.5509   0.7106  10.0798  0.15593E+00  0.15583E+00  0.98379E-04  0.13926E+00  0.16431E-06  0.62136E-03  0.13863E+00  0.10024E+01
   10.5890   3.0536  32.8238   0.7302  10.3250  0.12656E+00  0.12645E+00  0.10923E-03  0.11218E+00  0.12972E-06  0.53810E-03  0.11165E+00  0.10025E+01
   10.5890   3.0768  33.0991   0.7501  10.5738  0.10169E+00  0.10157E+00  0.12110E-03  0.89476E-01  0.10057E-06  0.47304E-03  0.89003E-01  0.10027E+01
   10.5890   3.0934  33.4123   0.7697  10.8272  0.80985E-01  0.80852E-01  0.13285E-03  0.70740E-01  0.76960E-07  0.42228E-03  0.70318E-01  0.10029E+01
   10.5890   3.1024  33.7770   0.7894  11.0901  0.63736E-01  0.63592E-01  0.14428E-03  0.55273E-01  0.58078E-07  0.38171E-03  0.54891E-01  0.10030E+01
   10.5890   3.1095  34.1536   0.8092  11.3573  0.49684E-01  0.49527E-01  0.15651E-03  0.42758E-01  0.43294E-07  0.35057E-03  0.42407E-01  0.10032E+01
   10.5890   3.1333  34.3902   0.8290  11.5985  0.39046E-01  0.38872E-01  0.17381E-03  0.33305E-01  0.32244E-07  0.33358E-03  0.32972E-01  0.10034E+01
   10.5890   3.1513  34.5591   0.8438  11.7765  0.32522E-01  0.32334E-01  0.18816E-03  0.27536E-01  0.25829E-07  0.32566E-03  0.27211E-01  0.10035E+01
