 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9966  28.3361   0.5337   7.6041  0.77059E+00  0.77057E+00  0.20545E-04  0.73312E+00  0.17474E-05  0.30280E-02  0.73009E+00  0.10013E+01
   10.5890   3.0235  28.6191   0.5510   7.8232  0.66665E+00  0.66662E+00  0.26369E-04  0.62922E+00  0.12105E-05  0.24610E-02  0.62676E+00  0.10014E+01
   10.5890   3.0514  28.9356   0.5703   8.0672  0.56492E+00  0.56489E+00  0.33082E-04  0.52867E+00  0.86520E-06  0.19627E-02  0.52671E+00  0.10015E+01
   10.5890   3.0791  29.2543   0.5901   8.3168  0.47470E+00  0.47466E+00  0.40231E-04  0.44040E+00  0.65318E-06  0.15708E-02  0.43883E+00  0.10016E+01
   10.5890   3.0951  29.6331   0.6096   8.5731  0.39502E+00  0.39498E+00  0.46843E-04  0.36350E+00  0.51539E-06  0.12670E-02  0.36223E+00  0.10017E+01
   10.5890   3.0992  30.0948   0.6295   8.8478  0.32291E+00  0.32285E+00  0.52830E-04  0.29481E+00  0.41286E-06  0.10211E-02  0.29379E+00  0.10018E+01
   10.5890   3.1097  30.4985   0.6492   9.1118  0.26464E+00  0.26458E+00  0.59214E-04  0.23966E+00  0.33490E-06  0.83464E-03  0.23883E+00  0.10019E+01
   10.5890   3.1369  30.7701   0.6688   9.3520  0.21918E+00  0.21911E+00  0.67131E-04  0.19675E+00  0.27324E-06  0.69601E-03  0.19605E+00  0.10020E+01
   10.5890   3.1698  30.9818   0.6879   9.5774  0.18217E+00  0.18209E+00  0.75997E-04  0.16206E+00  0.22304E-06  0.59277E-03  0.16146E+00  0.10022E+01
   10.5890   3.1953  31.1961   0.7052   9.7851  0.15272E+00  0.15264E+00  0.84165E-04  0.13475E+00  0.18399E-06  0.51820E-03  0.13423E+00  0.10023E+01
   10.5890   3.2096  31.4958   0.7231  10.0139  0.12531E+00  0.12522E+00  0.91736E-04  0.10964E+00  0.14888E-06  0.45340E-03  0.10918E+00  0.10024E+01
